id,label
9292,1.15251259558e-06
12026,0.911531567574
9688,1.20358590721e-05
4392,2.32634196351e-08
779,0.999996542931
2768,0.999770700932
2399,2.85393326749e-08
12225,0.862060248852
10947,9.19469922422e-09
1780,7.3853016147e-06
11631,2.43345721174e-06
8478,1.0
7940,1.01392787499e-08
5102,7.6509859559e-10
1704,1.0
5967,5.81384483667e-07
1261,0.998579978943
11882,0.999240398407
3237,0.999998807907
10222,0.999093532562
10854,0.999949932098
6810,0.117357008159
8615,0.999999642372
6014,9.6065850812e-05
7161,0.995298922062
7934,1.0
6549,0.999962687492
2715,2.3917255329e-11
6139,0.99992287159
6873,3.81022545071e-07
4470,2.12759744045e-07
9417,0.999824821949
8911,2.11118986044e-05
878,0.95566534996
10159,0.999950408936
8553,2.34786412534e-07
7897,0.00388115691021
2271,1.0
6094,1.0
10906,3.03603223983e-06
6945,0.296272665262
9578,0.000203829273232
1839,4.71672962021e-07
11121,0.150608867407
6599,1.0
2047,5.66185653916e-10
6138,7.40720622616e-07
4267,1.0
552,0.999999165535
400,0.99688833952
6248,0.985081017017
5652,8.83563999743e-10
9810,1.25502248594e-08
8888,0.999999880791
10198,4.46453924496e-07
11471,0.0546336993575
10110,1.0
4105,3.83823476113e-07
8611,0.999998927116
10511,2.47455584912e-08
5383,0.999916315079
2143,0.999997735023
7852,5.33648893963e-08
3770,0.672538876534
4876,0.896488308907
2212,0.999999523163
2012,1.99580374449e-09
3983,4.67478900035e-09
2461,5.78629633097e-09
10397,2.38309567635e-08
5629,1.0
4943,2.42558501062e-10
10266,4.51073418617e-08
9386,0.999769389629
4330,0.999999284744
9236,1.08934336822e-05
7967,0.998951673508
11760,0.999835371971
5375,0.999997735023
9806,0.999946951866
5957,0.999999761581
8877,0.8761485219
9518,1.31187107399e-05
11161,0.239037781954
3400,0.999843597412
8492,2.40153070763e-07
6469,0.999999523163
7942,2.65852577286e-06
5692,0.999992012978
11641,1.41594969083e-09
2891,0.999999880791
9986,0.999996066093
5870,2.27637574426e-05
6521,7.88789422668e-10
6072,0.99999666214
7566,1.31195432296e-09
9128,0.999951958656
6760,5.91843516418e-08
4223,1.0
11519,0.996188819408
11417,0.997975766659
10001,5.20965659234e-06
11081,0.999380350113
909,0.000272038101684
6856,0.999981164932
3201,0.202796682715
3025,7.61641583136e-11
7720,0.00286151748151
7112,0.998855948448
7206,0.999999165535
4144,0.999999642372
2265,2.16142943827e-05
1757,0.744726836681
11858,3.63472762999e-09
12125,0.208477661014
9731,0.999864816666
4536,0.000336037541274
11140,0.999987959862
12337,0.999976038933
3623,0.999552071095
4246,0.998093783855
9493,1.0
3980,0.160624831915
1036,0.999639153481
820,3.28830674334e-06
1407,8.23274376671e-07
941,0.000172851025127
2534,3.61360108503e-10
8486,0.999999523163
12261,9.62848787367e-08
10847,0.999999046326
5245,6.65210198036e-09
11264,1.93152835948e-08
2885,0.996970415115
3841,4.06045592172e-06
5620,0.999925374985
430,1.0
12182,0.999898433685
10628,6.55014154027e-10
9028,3.95616962123e-06
